year,month,period,race_name,race_name_kana,year_dispname,race_grade,race_track,fleld_type,distance,distance_range,direction,is_special
1,11,後半,秋明菊賞,しゅうめいぎくしょう,ジュニア,Pre-OP,京都,芝,1400m,短距離,右外,false
1,11,後半,葉牡丹賞,はぼたんしょう,ジュニア,Pre-OP,中山,芝,2000m,中距離,右内,false
1,11,後半,赤松賞,あかまつしょう,ジュニア,Pre-OP,東京,芝,1600m,マイル,左,false
1,12,前半,エリカ賞,えりかしょう,ジュニア,Pre-OP,阪神,芝,2000m,中距離,右内,false
1,12,前半,黒松賞,くろまつしょう,ジュニア,Pre-OP,中山,芝,1200m,短距離,右外,false
1,12,前半,さざんか賞,さざんかしょう,ジュニア,Pre-OP,阪神,芝,1200m,短距離,右内,false
1,12,前半,万両賞,まんりょうしょう,ジュニア,Pre-OP,阪神,芝,1400m,短距離,右内,false
1,12,前半,朝日杯フューチュリティステークス,あさひはいふゅーちゅりてぃすてーくす,ジュニア,G1,阪神,芝,1600m,マイル,右外,false
1,12,前半,つわぶき賞,つわぶきしょう,ジュニア,Pre-OP,中京,芝,1400m,短距離,左,false
1,12,前半,ひいらぎ賞,ひいらぎしょう,ジュニア,Pre-OP,中山,芝,1600m,マイル,右外,false
1,12,前半,寒椿賞,かんつばきしょう,ジュニア,Pre-OP,中京,ダート,1400m,短距離,左,false
1,12,前半,阪神ジュベナイルフィリーズ,はんしんじゅべないるふぃりーず,ジュニア,G1,阪神,芝,1600m,マイル,右外,false
1,12,後半,千両賞,せんりょうしょう,ジュニア,Pre-OP,阪神,芝,1600m,マイル,右外,false
1,12,後半,クリスマスローズステークス,くりすますろーずすてーくす,ジュニア,OP,中山,芝,1200m,短距離,右外,false
1,12,後半,ホープフルステークス,ほーぷふるすてーくす,ジュニア,G1,中山,芝,2000m,中距離,右内,false
1,12,後半,全日本ジュニア優駿,ぜんにっぽんじゅにあゆうしゅん,ジュニア,G1,川崎,ダート,1600m,マイル,左,false
2,1,前半,京成杯,けいせいはい,クラシック,G3,中山,芝,2000m,中距離,右内,false
2,1,前半,フェアリーステークス,ふぇありーすてーくす,クラシック,G3,中山,芝,1600m,マイル,右外,false
2,1,前半,紅梅ステークス,こうばいすてーくす,クラシック,OP,京都,芝,1400m,短距離,右外,false
2,1,前半,シンザン記念,しんざんきねん,クラシック,G3,京都,芝,1600m,マイル,right外,false
2,1,前半,ジュニアカップ,じゅにあかっぷ,クラシック,OP,中山,芝,1600m,マイル,右外,false
2,1,後半,クロッカスステークス,くろっかすすてーくす,クラシック,OP,東京,芝,1400m,短距離,左,false
2,1,後半,若駒ステークス,わかこますてーくす,クラシック,OP,京都,芝,2000m,中距離,右内,false
2,2,前半,共同通信杯,きょうどうつうしんはい,クラシック,G3,東京,芝,1800m,マイル,左,false
2,2,前半,クイーンカップ,くいーんかっぷ,クラシック,G3,東京,芝,1600m,マイル,左,false
2,2,前半,エルフィンステークス,えるふぃんすてーくす,クラシック,OP,京都,芝,1600m,マイル,右外,false
2,2,前半,きさらぎ賞,きさらぎしょう,クラシック,G3,京都,芝,1800m,マイル,右外,false
2,2,後半,マーガレットステークス,まーがれっとすてーくす,クラシック,OP,阪神,芝,1200m,短距離,右内,false
2,2,後半,ヒヤシンスステークス,ひやしんすすてーくす,クラシック,OP,東京,ダート,1600m,マイル,左,false
2,2,後半,すみれステークス,すみれすてーくす,クラシック,OP,阪神,芝,2200m,中距離,右内,false
2,3,前半,チューリップ賞,ちゅーりっぷしょう,クラシック,G2,阪神,芝,1600m,マイル,右外,false
2,3,前半,アネモネステークス,あねもねすてーくす,クラシック,OP,中山,芝,1600m,マイル,右外,false
2,3,前半,フィリーズレビュー,ふぃりーずれびゅー,クラシック,G2,阪神,芝,1400m,短距離,右内,false
2,3,前半,昇竜ステークス,しょうりゅうすてーくす,クラシック,OP,中京,ダート,1400m,短距離,左,false
2,3,前半,弥生賞,やよいしょう,クラシック,G2,中山,芝,2000m,中距離,右内,false
2,3,後半,毎日杯,まいにちはい,クラシック,G3,阪神,芝,1800m,マイル,右外,false
2,3,後半,若葉ステークス,わかばすてーくす,クラシック,OP,阪神,芝,2000m,中距離,右内,false
2,3,後半,フラワーカップ,ふらわーかっぷ,クラシック,G3,中山,芝,1800m,マイル,右内,false
2,3,後半,スプリングステークス,すぷりんぐすてーくす,クラシック,G2,中山,芝,1800m,マイル,右内,false
2,3,後半,ファルコンステークス,ふぁるこんすてーくす,クラシック,G3,中京,芝,1400m,短距離,左,false
2,4,前半,伏竜ステークス,ふくりゅうすてーくす,クラシック,OP,中山,ダート,1800m,マイル,右,false
2,4,前半,ニュージーランドトロフィー,にゅーじーらんどとろふぃー,クラシック,G2,中山,芝,1600m,マイル,右外,false
2,4,前半,皐月賞,さつきしょう,クラシック,G1,中山,芝,2000m,中距離,右内,false
2,4,前半,忘れな草賞,わすれなぐさしょう,クラシック,OP,阪神,芝,2000m,中距離,右内,false
2,4,前半,マリーンカップ,まりーんかっぷ,クラシック/シニア,G3,船橋,ダート,1600m,マイル,左,false
2,4,前半,アーリントンカップ,あーりんとんかっぷ,クラシック,G3,阪神,芝,1600m,マイル,右外,false
2,4,前半,桜花賞,おうかしょう,クラシック,G1,阪神,芝,1600m,マイル,右外,false
2,4,後半,青葉賞,あおばしょう,クラシック,G2,東京,芝,2400m,中距離,左,false
2,4,後半,フローラステークス,ふろーらすてーくす,クラシック,G2,東京,芝,2000m,中距離,左,false
2,4,後半,スイートピーステークス,すいーとぴーすてーくす,クラシック,OP,東京,芝,1800m,マイル,左,false
2,4,後半,端午ステークス,たんごすてーくす,クラシック,OP,京都,ダート,1400m,短距離,右,false
2,4,後半,橘ステークス,たちばなすてーくす,クラシック,OP,京都,芝,1400m,短距離,右外,false
2,5,前半,京都新聞杯,きょうとしんぶんはい,クラシック,G2,京都,芝,2200m,中距離,右外,false
2,5,前半,プリンシパルステークス,ぷりんしぱるすてーくす,クラシック,OP,東京,芝,2000m,中距離,左,false
2,5,前半,青竜ステークス,せいりゅうすてーくす,クラシック,OP,東京,ダート,1600m,マイル,左,false
2,5,前半,NHKマイルカップ,えぬえいちけーまいるかっぷ,クラシック,G1,東京,芝,1600m,マイル,左,false
2,5,後半,葵ステークス,あおいすてーくす,クラシック,G3,京都,芝,1200m,短距離,右内,false
2,5,後半,日本ダービー（東京優駿）,にっぽんだーびーとうきょうゆうしゅん,クラシック,G1,東京,芝,2400m,中距離,左,false
2,5,後半,オークス,おーくす,クラシック,G1,東京,芝,2400m,中距離,左,false
2,5,後半,鳳雛ステークス,ほうすうすてーくす,クラシック,OP,京都,ダート,1800m,マイル,右,false
2,5,後半,白百合ステークス,しらゆりすてーくす,クラシック,OP,京都,芝,1800m,マイル,右外,false
2,6,前半,関東オークス,かんとうおーくす,クラシック,G2,川崎,ダート,2100m,中距離,左,false
2,6,前半,マーメイドステークス,まーめいどすてーくす,クラシック/シニア,G3,阪神,芝,2000m,中距離,右内,false
2,6,前半,エプソムカップ,えぷそむかっぷ,クラシック/シニア,G3,東京,芝,1800m,マイル,左,false
2,6,前半,スレイプニルステークス,すれいぷにるすてーくす,クラシック,OP,東京,ダート,2100m,中距離,左,false
2,6,前半,安田記念,やすだきねん,クラシック/シニア,G1,東京,芝,1600m,マイル,左,false
2,6,前半,鳴尾記念,なるおきねん,クラシック/シニア,G3,阪神,芝,2000m,中距離,右内,false
2,6,前半,天保山ステークス,てんぽうざんすてーくす,クラシック,OP,阪神,ダート,1400m,短距離,右,false
2,6,後半,ユニコーンステークス,ゆにこーんすてーくす,クラシック,G3,東京,ダート,1600m,マイル,左,false
2,6,後半,三宮ステークス,さんのみやすてーくす,クラシック/シニア,OP,阪神,ダート,1800m,マイル,右,false
2,6,後半,大沼ステークス,おおぬますてーくす,クラシック/シニア,OP,函館,ダート,1700m,マイル,右,false
2,6,後半,アハルテケステークス,あはるてけすてーくす,クラシック/シニア,OP,東京,ダート,1600m,マイル,左,false
2,6,後半,パラダイスステークス,ぱらだいすすてーくす,クラシック/シニア,OP,東京,芝,1400m,短距離,左,false
2,6,後半,函館スプリントステークス,はこだてすぷりんとすてーくす,クラシック/シニア,G3,函館,芝,1200m,短距離,右,false
2,6,後半,宝塚記念,たからづかきねん,クラシック/シニア,G1,阪神,芝,2200m,中距離,右内,false
2,6,後半,米子ステークス,よなごすてーくす,クラシック/シニア,OP,阪神,芝,1600m,マイル,right外,false
2,7,前半,プロキオンステークス,ぷろきおんすてーくす,クラシック/シニア,G3,中京,ダート,1400m,短距離,左,false
2,7,前半,函館記念,はこだてきねん,クラシック/シニア,G3,函館,芝,2000m,中距離,右,false
2,7,前半,七夕賞,たなばたしょう,クラシック/シニア,G3,福島,芝,2000m,中距離,右,false
2,7,前半,ラジオNIKKEI賞,らじおにっけいしょう,クラシック,G3,福島,芝,1800m,マイル,右,false
2,7,前半,CBC賞,しーびーしーしょう,クラシック/シニア,G3,中京,芝,1200m,短距離,左,false
2,7,前半,巴賞,ともえしょう,クラシック/シニア,OP,函館,芝,1800m,マイル,右,false
2,7,前半,スパーキングレディーカップ,すぱーきんぐれでぃーかっぷ,クラシック/シニア,G3,川崎,ダート,1600m,マイル,左,false
2,7,前半,ジャパンダートダービー,じゃぱんだーとだーびー,クラシック,G1,大井,ダート,2000m,中距離,右,false
2,7,前半,名鉄杯,めいてつはい,クラシック/シニア,OP,中京,ダート,1800m,マイル,左,false
2,7,前半,マリーンステークス,まりーんすてーくす,クラシック/シニア,OP,函館,ダート,1700m,マイル,右,false
2,7,後半,中京記念,ちゅうきょうきねん,クラシック/シニア,G3,中京,芝,1600m,マイル,左,false
2,7,後半,クイーンステークス,くいーんすてーくす,クラシック/シニア,G3,札幌,芝,1800m,マイル,右,false
2,7,後半,福島テレビオープン,ふくしまてれびおーぷん,クラシック/シニア,OP,福島,芝,1200m,短距離,右,false
2,7,後半,アイビスサマーダッシュ,あいびすさまーだっしゅ,クラシック/シニア,G3,新潟,芝,1000m,短距離,直線,false
2,7,後半,マーキュリーカップ,まーきゅりーかっぷ,クラシック/シニア,G3,盛岡,ダート,2000m,中距離,左,false
2,8,前半,エルムステークス,えるむすてーくす,クラシック/シニア,G3,札幌,ダート,1700m,マイル,右,false
2,8,前半,札幌日経オープン,さっぽろにっけいおーぷん,クラシック/シニア,OP,札幌,芝,2600m,長距離,右,false
2,8,前半,レパードステークス,れぱーどすてーくす,クラシック,G3,新潟,ダート,1800m,マイル,左,false
2,8,前半,関越ステークス,かんえつすてーくす,クラシック/シニア,OP,新潟,芝,1800m,マイル,左外,false
2,8,前半,関屋記念,せきやきねん,クラシック/シニア,G3,新潟,芝,1600m,マイル,左外,false
2,8,前半,UHB賞,ゆーえいちびーしょう,クラシック/シニア,OP,札幌,芝,1200m,短距離,右,false
2,8,前半,小倉記念,こくらきねん,クラシック/シニア,G3,小倉,芝,2000m,中距離,右,false
2,8,前半,阿蘇ステークス,あそすてーくす,クラシック/シニア,OP,小倉,ダート,1700m,マイル,右,false
2,8,後半,BSN賞,びーえすえぬしょう,クラシック/シニア,OP,新潟,ダート,1800m,マイル,左,false
2,8,後半,朱鷺ステークス,ときすてーくす,クラシック/シニア,OP,新潟,芝,1400m,短距離,左内,false
2,8,後半,北九州記念,きたきゅうしゅうきねん,クラシック/シニア,G3,小倉,芝,1200m,短距離,右,false
2,8,後半,クラスターカップ,くらすたーかっぷ,クラシック/シニア,G3,盛岡,ダート,1200m,短距離,左,false
2,8,後半,NST賞,えぬえすてぃーしょう,クラシック/シニア,OP,新潟,ダート,1200m,短距離,左,false
2,8,後半,小倉日経オープン,こくらにっけいおーぷん,クラシック/シニア,OP,小倉,芝,1800m,マイル,右,false
2,8,後半,札幌記念,さっぽろきねん,クラシック/シニア,G2,札幌,芝,2000m,中距離,右,false
2,8,後半,キーンランドカップ,きーんらんどかっぷ,クラシック/シニア,G3,札幌,芝,1200m,短距離,右,false
2,9,前半,エニフステークス,えにふすてーくす,クラシック/シニア,OP,阪神,ダート,1400m,短距離,右,false
2,9,前半,紫苑ステークス,しおんすてーくす,クラシック,G3,中山,芝,2000m,中距離,右内,false
2,9,前半,丹頂ステークス,たんちょうすてーくす,クラシック/シニア,OP,札幌,芝,2600m,長距離,右,false
2,9,前半,ローズステークス,ろーずすてーくす,クラシック,G2,阪神,芝,1800m,マイル,右外,false
2,9,前半,京成杯オータムハンデキャップ,けいせいはいおーたむはんできゃっぷ,クラシック/シニア,G3,中山,芝,1600m,マイル,右外,false
2,9,前半,セントウルステークス,せんとうるすてーくす,クラシック/シニア,G2,阪神,芝,1200m,短距離,右内,false
2,9,前半,新潟記念,にいがたきねん,クラシック/シニア,G3,新潟,芝,2000m,中距離,左外,false
2,9,前半,ラジオ日本賞,らじおにっぽんしょう,クラシック/シニア,OP,中山,ダート,1800m,マイル,右,false
2,9,後半,セントライト記念,せんとらいときねん,クラシック,G2,中山,芝,2200m,中距離,right外,false
2,9,後半,スプリンターズステークス,すぷりんたーずすてーくす,クラシック/シニア,G1,中山,芝,1200m,短距離,右外,false
2,9,後半,ポートアイランドステークス,ぽーとあいらんどすてーくす,クラシック/シニア,OP,阪神,芝,1600m,マイル,右外,false
2,9,後半,さざんかテレビ杯,さざんかてれびはい,クラシック/シニア,G2,船橋,ダート,1800m,マイル,左,false
2,9,後半,神戸新聞杯,こうべしんぶんはい,クラシック,G2,阪神,芝,2400m,中距離,右外,false
2,9,後半,ながつきステークス,ながつきすてーくす,クラシック/シニア,OP,中山,ダート,1200m,短距離,右,false
2,9,後半,オールカマー,おーるかまー,クラシック/シニア,G2,中山,芝,2200m,中距離,右外,false
2,9,後半,シリウスステークス,しりうすすてーくす,クラシック/シニア,G3,阪神,ダート,2000m,中距離,右,false
2,10,前半,東京盃,とうきょうはい,クラシック/シニア,G2,大井,ダート,1200m,短距離,右,false
2,10,前半,グリーンチャンネルカップ,ぐりーんちゃんねるかっぷ,クラシック/シニア,OP,東京,ダート,1400m,短距離,左,false
2,10,前半,オクトーバーステークス,おくとーばーすてーくす,クラシック/シニア,OP,東京,芝,2000m,中距離,左,false
2,10,前半,府中ウマ娘ステークス,ふちゅううまむすめすてーくす,クラシック/シニア,G2,東京,芝,1800m,マイル,左,false
2,10,前半,太秦ステークス,うずまさすてーくす,クラシック/シニア,OP,京都,ダート,1800m,マイル,右,false
2,10,前半,信越ステークス,しんえつすてーくす,クラシック/シニア,OP,新潟,芝,1400m,短距離,左内,false
2,10,前半,マイルチャンピオンシップ南部杯,まいるちゃんぴおんしっぷなんぶはい,クラシック/シニア,G1,盛岡,ダート,1600m,マイル,左,false
2,10,前半,京都大賞典,きょうとだいしょうてん,クラシック/シニア,G2,京都,芝,2400m,中距離,右外,false
2,10,前半,毎日王冠,まいにちおうかん,クラシック/シニア,G2,東京,芝,1800m,マイル,左,false
2,10,前半,レディスプレリュード,れでぃすぷれりゅーど,クラシック/シニア,G2,大井,ダート,1800m,マイル,右,false
2,10,前半,オパールステークス,おぱーるすてーくす,クラシック/シニア,OP,京都,芝,1200m,短距離,右内,false
2,10,後半,ブラジルカップ,ぶらじるかっぷ,クラシック/シニア,OP,東京,ダート,2100m,中距離,左,false
2,10,後半,室町ステークス,むろまちすてーくす,クラシック/シニア,OP,京都,ダート,1200m,短距離,右,false
2,10,後半,スワンステークス,すわんすてーくす,クラシック/シニア,G2,京都,芝,1400m,短距離,右外,false
2,10,後半,菊花賞,きっかしょう,クラシック,G1,京都,芝,3000m,長距離,右外,false
2,10,後半,カシオペアステークス,かしおぺあすてーくす,クラシック/シニア,OP,京都,芝,1800m,マイル,右外,false
2,10,後半,天皇賞（秋）,てんのうしょうあき,クラシック/シニア,G1,東京,芝,2000m,中距離,左,false
2,10,後半,ルミエールオータムダッシュ,るみえーるおーたむだっしゅ,クラシック/シニア,OP,新潟,芝,1000m,短距離,直線,false
2,10,後半,富士ステークス,ふじすてーくす,クラシック/シニア,G2,東京,芝,1600m,マイル,左,false
2,10,後半,秋華賞,しゅうかしょう,クラシック,G1,京都,芝,2000m,中距離,右内,false
2,11,前半,JBCレディスクラシック,じぇいびーしーれでぃすくらしっく,クラシック/シニア,G1,川崎,ダート,1600m,マイル,左,false
2,11,前半,みやこステークス,みやこすてーくす,クラシック/シニア,G3,京都,ダート,1800m,マイル,右,false
2,11,前半,JBCスプリント,じぇいびーしーすぷりんと,クラシック/シニア,G1,川崎,ダート,1400m,短距離,左,false
2,11,前半,アルゼンチン共和国杯,あるぜんちんきょうわこくはい,クラシック/シニア,G2,東京,芝,2500m,長距離,左,false
2,11,前半,福島記念,ふくしまきねん,クラシック/シニア,G3,福島,芝,2000m,中距離,右,false
2,11,前半,JBCクラシック,じぇいびーしーくらしっく,クラシック/シニア,G1,川崎,ダート,2100m,中距離,左,false
2,11,前半,武蔵野ステークス,むさしのすてーくす,クラシック/シニア,G3,東京,ダート,1600m,マイル,左,false
2,11,前半,JBCレディスクラシック,じぇいびーしーれでぃすくらしっく,クラシック/シニア,G1,大井,ダート,1800m,マイル,右,false
2,11,前半,エリザベス女王杯,えりざべすじょおうはい,クラシック/シニア,G1,京都,芝,2200m,中距離,右外,false
2,11,前半,オーロカップ,おーろかっぷ,クラシック/シニア,OP,東京,芝,1400m,短距離,左,false
2,11,前半,JBCスプリント,じぇいびーしーすぷりんと,クラシック/シニア,G1,大井,ダート,1200m,短距離,右,false
2,11,前半,JBCクラシック,じぇいびーしーくらしっく,クラシック/シニア,G1,大井,ダート,2000m,中距離,右,false
2,11,後半,ジャパンカップ,じゃぱんかっぷ,クラシック/シニア,G1,東京,芝,2400m,中距離,左,false
2,11,後半,霜月ステークス,しもつきすてーくす,クラシック/シニア,OP,東京,ダート,1400m,短距離,左,false
2,11,後半,福島民友カップ,ふくしまみんゆうかっぷ,クラシック/シニア,OP,福島,ダート,1700m,マイル,右,false
2,11,後半,マイルチャンピオンシップ,まいるちゃんぴおんしっぷ,クラシック/シニア,G1,京都,芝,1600m,マイル,右外,false
2,11,後半,アンドロメダステークス,あんどろめだすてーくす,クラシック/シニア,OP,京都,芝,2000m,中距離,右内,false
2,11,後半,キャピタルステークス,きゃぴたるすてーくす,クラシック/シニア,OP,東京,芝,1600m,マイル,左,false
2,11,後半,オータムリーフステークス,おーたむりーふすてーくす,クラシック/シニア,OP,京都,ダート,1200m,短距離,右,false
2,11,後半,京阪杯,けいはんはい,クラシック/シニア,G3,京都,芝,1200m,短距離,右内,false
2,12,前半,チャンピオンズカップ,ちゃんぴおんずかっぷ,クラシック/シニア,G1,中京,ダート,1800m,マイル,左,false
2,12,前半,中日新聞杯,ちゅうにちしんぶんはい,クラシック/シニア,G3,中京,芝,2000m,中距離,左,false
2,12,前半,クイーン賞,くいーんしょう,クラシック/シニア,G3,船橋,ダート,1800m,マイル,左,false
2,12,前半,カペラステークス,かぺらすてーくす,クラシック/シニア,G3,中山,ダート,1200m,短距離,右,false
2,12,前半,ディセンバーステークス,でぃせんばーすてーくす,クラシック/シニア,OP,中山,芝,1800m,マイル,右内,false
2,12,前半,ラピスラズリステークス,らぴすらずりすてーくす,クラシック/シニア,OP,中山,芝,1200m,短距離,right外,false
2,12,前半,タンザナイトステークス,たんざないとすてーくす,クラシック/シニア,OP,阪神,芝,1200m,短距離,右内,false
2,12,前半,ターコイズステークス,たーこいずすてーくす,クラシック/シニア,G3,中山,芝,1600m,マイル,右外,false
2,12,前半,ステイヤーズステークス,すていやーずすてーくす,クラシック/シニア,G2,中山,芝,3600m,長距離,右内,false
2,12,前半,師走ステークス,しわすすてーくす,クラシック/シニア,OP,中山,ダート,1800m,マイル,右,false
2,12,前半,チャレンジカップ,ちゃれんじかっぷ,クラシック/シニア,G3,阪神,芝,2000m,中距離,右内,false
2,12,前半,リゲルステークス,りげるすてーくす,クラシック/シニア,OP,阪神,芝,1600m,マイル,右外,false
2,12,後半,有馬記念,ありまきねん,クラシック/シニア,G1,中山,芝,2500m,長距離,右内,false
2,12,後半,東京大賞典,とうきょうだいしょうてん,クラシック/シニア,G1,大井,ダート,2000m,中距離,右,false
2,12,後半,ベテルギウスステークス,べてるぎうすすてーくす,クラシック/シニア,OP,阪神,ダート,1800m,マイル,右,false
2,12,後半,阪神カップ,はんしんかっぷ,クラシック/シニア,G2,阪神,芝,1400m,短距離,右内,false
2,12,後半,ギャラクシーステークス,ぎゃらくしーすてーくす,クラシック/シニア,OP,阪神,ダート,1400m,短距離,右,false
3,1,前半,愛知杯,あいちはい,シニア,G3,中京,芝,2000m,中距離,左,false
3,1,前半,カーバンクルステークス,かーばんくるすてーくす,シニア,OP,中山,芝,1200m,短距離,右外,false
3,1,前半,中山金杯,なかやまきんぱい,シニア,G3,中山,芝,2000m,中距離,右内,false
3,1,前半,ジャニュアリーステークス,じゃにゅありーすてーくす,シニア,OP,中山,ダート,1200m,短距離,右,false
3,1,前半,日経新春杯,にっけいしんしゅんはい,シニア,G2,京都,芝,2400m,中距離,右外,false
3,1,前半,京都金杯,きょうときんぱい,シニア,G3,京都,芝,1600m,マイル,右外,false
3,1,前半,淀短距離ステークス,よどたんきょりすてーくす,シニア,OP,京都,芝,1200m,短距離,right内,false
3,1,前半,ポルックスステークス,ぽるっくすすてーくす,シニア,OP,中山,ダート,1800m,マイル,右,false
3,1,前半,ニューイヤーステークス,にゅーいやーすてーくす,シニア,OP,中山,芝,1600m,マイル,右外,false
3,1,前半,万葉ステークス,まんようすてーくす,シニア,OP,京都,芝,3000m,長距離,右外,false
3,1,後半,TCK女王盃,てぃーしーけーじょおうはい,シニア,G3,大井,ダート,1800m,マイル,右,false
3,1,後半,白富士ステークス,しらふじすてーくす,シニア,OP,東京,芝,2000m,中距離,左,false
3,1,後半,東海ステークス,とうかいすてーくす,シニア,G2,中京,ダート,1800m,マイル,左,false
3,1,後半,シルクロードステークス,しるくろーどすてーくす,シニア,G3,京都,芝,1200m,短距離,右内,false
3,1,後半,すばるステークス,すばるすてーくす,シニア,OP,京都,ダート,1400m,短距離,右,false
3,1,後半,アメリカJCC,あめりかじぇーしーしー,シニア,G2,中山,芝,2200m,中距離,右外,false
3,1,後半,根岸ステークス,ねぎしすてーくす,シニア,G3,東京,ダート,1400m,短距離,左,false
3,2,前半,東京新聞杯,とうきょうしんぶんはい,シニア,G3,東京,芝,1600m,マイル,左,false
3,2,前半,京都記念,きょうときねん,シニア,G2,京都,芝,2200m,中距離,右外,false
3,2,前半,洛陽ステークス,らくようすてーくす,シニア,OP,京都,芝,1600m,マイル,right外,false
3,2,前半,バレンタインステークス,ばれんたいんすてーくす,シニア,OP,東京,ダート,1400m,短距離,左,false
3,2,前半,大和ステークス,やまとすてーくす,シニア,OP,京都,ダート,1200m,短距離,右,false
3,2,前半,川崎記念,かわさききねん,シニア,G1,川崎,ダート,2100m,中距離,左,false
3,2,前半,アルデバランステークス,あるてみすすてーくす,シニア,OP,京都,ダート,1900m,中距離,右,false
